Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,01,6803077,6673152,7042962,6995424.2,-9999,-9999,5966499,6199770,-9999,6510515,-9999,-9999,7703813,-9999,-9999,6991995,6688163,7025912,6437344,6226056,6605328,7288558,7717437,6019925,6191461,6531339,6914021,6628937,6936853,7397382,7136672,6605963,5790971,6473444,8875598,7727461,7168334,6722105,7632453,6920200,8360560,9219873,6942134,5373844,6351252,5263487,6068206,6568300,5778923,4777328,6171015
01,02,6623463,6524885,6870609,6820823.4,-9999,6988174,-9999,-9999,7038279,-9999,6860933,6402066,-9999,6819079,-9999,6729601,6552409,6866695,6270325,6080451,6441614,7140097,7596749,5905560,6014540,6380411,6668280,6472109,6696562,7268810,6990874,6493222,5649405,6326697,8715572,7566641,6901748,6523533,7446278,6774107,8220524,9116202,6696112,5223903,6190309,5115518,5966632,6451907,5570948,4644691,6020952
01,03,6433937,6381587,6686831,6668285.5,-9999,-9999,5855460,5733736,-9999,6174902,-9999,-9999,7377712,-9999,-9999,6524340,6438592,6727943,6081960,5917104,6311070,7004204,7494799,5729410,5865759,6245033,6433947,6308581,6451084,7136895,6799255,6340426,5432490,6190619,8503524,7355408,6576725,6340878,7296725,6685872,8094706,9022589,6491773,5148723,6046952,4977912,5858135,6325097,5411740,4485865,5876284
01,04,6342057,6237529,6512267,6502756.8,-9999,6693755,-9999,-9999,6779720,-9999,6524209,6005480,-9999,-9999,-9999,6293637,6307834,6564910,5894004,5736063,6225458,6880202,7389282,5533551,5694611,6149371,6199286,6157021,6239838,7003109,6619378,6188252,5243930,6043174,8333234,7205507,6309555,6140364,7163395,6557339,7937880,8874514,6270363,5038887,5871239,4864032,5736306,6181009,5246132,4364564,5730761
01,05,6169759,6097947,6346366,6344653.8,-9999,-9999,-9999,5360908,-9999,5867749,-9999,-9999,7067691,-9999,-9999,6072322,6185196,6454309,5736676,5532664,6124530,6745397,7288318,5327884,5526250,6058246,5999904,6018245,6046993,6878883,6474883,5997103,5061867,5908781,8116522,7086533,6046657,5959763,6987451,6437047,7741370,8729026,6143491,4968665,5689531,4743537,5642356,6041155,5117154,4260926,5581998
01,06,5985730,5964678,6187391,6204676.6,-9999,6485669,-9999,-9999,6487564,-9999,6182989,5659322,-9999,-9999,-9999,5785457,6026711,6349996,5622411,5405245,6000579,6614490,7172783,5132064,5363251,5959254,5833717,5916226,5881568,6744226,6338860,5793743,4875661,5731970,7884076,6966395,5802744,5799864,6826118,6334231,7554995,8584844,6058883,4926275,5532254,4626558,5523254,5905331,4895915,4177191,5457455
01,07,5793321,5839165,6037481,6055745.9,-9999,-9999,-9999,5050683,-9999,5646887,-9999,-9999,6575635,-9999,-9999,5541570,5880651,6231080,5472030,5337959,5897424,6485424,7103849,4974718,5165108,5843411,5656464,5826893,5728279,6592698,6242441,5623514,4722577,5531738,7638782,6800929,5622109,5655562,6660964,6236915,7369276,8422951,5887386,4830950,5388263,4483083,5363378,5797175,4758852,4048523,5378218
01,08,5615539,5703261,5889101,5902965.8,-9999,6311304,-9999,-9999,6150126,-9999,5817621,5179325,-9999,-9999,-9999,5395461,5754149,6121784,5281679,5229695,5771685,6342590,6966838,4831532,5015290,5717372,5504178,5744601,5558693,6466563,6138424,5472284,4583926,5371230,7425593,6648745,5448400,5460729,6512802,6135921,7183199,8289563,5713651,4732309,5211320,4341764,5228942,5631825,4668099,3931888,5210067
01,09,5458064,5567826,5750786,5747976,-9999,-9999,-9999,4819711,-9999,5384678,-9999,-9999,6054881,-9999,-9999,5287911,5599801,5989657,5157794,5112967,5644720,6171548,6809551,4700474,4895938,5595813,5369614,5672646,5398976,6354874,6026348,5320517,4464668,5237292,7223569,6507927,5288340,5300390,6387639,5990395,7036959,8111969,5502182,4613991,5005423,4242472,5127840,5526691,4549378,3792491,5081243
01,10,5327080,5444446,5616985,5611974.5,-9999,6061273,-9999,-9999,5888147,-9999,5514622,4768684,-9999,-9999,-9999,5205142,5453421,5882742,5033644,5005813,5519869,6041954,6694111,4582444,4781198,5449261,5212132,5615527,5251071,6228869,5900962,5205428,4359772,5118036,7029005,6376313,5134169,5147926,6292571,5882294,6901516,7938385,5350810,4517679,4814044,4140351,4988755,5405365,4470770,3696653,4907113
01,11,5208830,5329884,5488094,5450575.7,-9999,-9999,-9999,4608606,-9999,5084910,-9999,-9999,5873139,-9999,-9999,5141460,5355440,5730339,4954578,4888228,5390654,5922153,6571658,4490370,4685175,5310241,5100878,5534287,5078073,6097135,5773790,5093146,4252039,4970169,6884745,6239696,4959932,4969214,6123139,5797230,6766746,7784120,5165212,4267245,4644077,4028842,4839647,5295932,4400298,3642244,4741257
01,12,5091268,5216460,5365731,5313158.7,-9999,5828819,-9999,-9999,5647665,-9999,5219147,4469118,-9999,-9999,-9999,5100523,5233403,5621154,4862305,4755904,5265252,5846624,6429321,4392062,4597320,5161252,4973998,5460944,4954455,5935790,5683503,4971059,4146904,4844152,6737605,6115559,4825296,4802872,5991026,5683729,6642045,7628707,5050156,4100561,4483129,3924066,4715134,5174023,4330659,3575146,4566786
01,13,4890023,5099264,5246005,5175796.9,-9999,-9999,4732412,4405616,-9999,4845616,-9999,-9999,5586962,-9999,4448009,5020696,5114408,5470066,4755294,4649813,5117020,5760164,6311077,4304244,4503048,5007508,4885040,5375615,4843904,5805762,5567751,4773849,4065233,4729853,6554983,5980318,4693515,4630048,5861206,5581506,6518051,7440034,4911863,3949764,4331925,3840057,4577339,5017795,4252132,3520843,4382474
01,14,4771036,4990436,5123772,5036942.8,-9999,5532252,-9999,-9999,5465598,-9999,4942218,4198047,-9999,-9999,4394650,4806207,4980488,5334990,4649691,4544745,4989993,5680454,6188969,4240322,4400713,4893995,4800685,5300792,4722284,5696511,5507353,4557113,3961201,4613448,6299997,5828550,4588606,4466765,5738351,5469867,6384732,7296934,4724022,3784027,4153788,3762336,4481083,4910659,4137885,3460534,4220498
01,15,4649413,4875136,5010268,4907132.6,-9999,-9999,4575133,4216360,-9999,4632944,-9999,-9999,5270159,-9999,4345681,4528162,4840834,5245329,4539905,4418233,4893137,5580128,6055396,4124529,4306891,4746976,4725114,5213181,4627159,5607261,5429162,4385652,3850991,4522799,6131301,5677711,4506861,4249950,5627906,5364399,6242482,7152234,4539281,3639804,4063767,3684642,4399016,4805669,4040372,3400002,4041437
01,16,4583081,4764950,4902738,4789754.8,-9999,5320865,-9999,-9999,5317363,-9999,4514012,4115325,-9999,4848360,4296542,4448729,4669694,5147231,4446829,4299885,4796359,5480140,5937434,4021815,4226291,4623825,4649510,5144763,4526073,5516099,5367079,4216840,3749276,4395923,5971041,5504837,4439728,4063787,5501272,5273196,6096897,7008488,4384000,3514601,3984863,3630716,4302765,4701823,3921986,3329449,3935283
01,17,4481921,4663489,4793942,4672777,-9999,-9999,4454983,4082171,-9999,4424971,-9999,-9999,4924239,-9999,4205369,4385264,4508618,5077357,4367280,4178875,4718459,5396753,5803646,3914181,4151955,4517770,4561382,5077742,4431422,5427281,5273369,4115736,3668711,4272560,5833801,5368218,4385879,3924474,5339909,5201407,5910988,6806601,4244582,3410505,3926825,3576600,4201339,4585657,3816977,3284614,3810159
